time,window,count,score,edu
2014-10-04 18:00:00,91,252,-0.02896769546302005,1
2014-10-04 18:00:00,91,7080,-0.039091560752353136,0
2014-10-04 19:00:00,92,333,-0.04302214659244409,1
2014-10-04 19:00:00,92,6603,-0.039091806429331646,0
2014-10-04 20:00:00,93,267,-0.05157208125098388,1
2014-10-04 20:00:00,93,6936,-0.041011985908703606,0
2014-10-04 21:00:00,94,180,-0.05009710870276329,1
2014-10-04 21:00:00,94,7344,-0.03754743910738106,0
2014-10-04 22:00:00,95,210,-0.02959005702610695,1
2014-10-04 22:00:00,95,8127,-0.04007215956362549,0
2014-10-04 23:00:00,96,159,-0.03638362791691723,1
2014-10-04 23:00:00,96,7536,-0.04037544335163085,0
2014-10-05 00:00:00,97,135,-0.027207632211129526,1
2014-10-05 00:00:00,97,6285,-0.03522171876723484,0
2014-10-05 01:00:00,98,264,-0.04410724672641878,1
2014-10-05 01:00:00,98,4656,-0.04659330055314868,0
2014-10-05 02:00:00,99,90,-0.07902103352487531,1
2014-10-05 02:00:00,99,2664,-0.036608905812199055,0
2014-10-05 03:00:00,100,69,-0.035395168855534696,1
2014-10-05 03:00:00,100,1635,-0.03864851496781771,0
2014-10-05 04:00:00,101,90,-0.033439279058933166,1
2014-10-05 04:00:00,101,837,-0.036327525581145464,0
2014-10-05 05:00:00,102,129,-0.04724283081642471,1
2014-10-05 05:00:00,102,777,-0.029685523001965242,0
2014-10-05 06:00:00,103,33,-0.09351448831695065,1
2014-10-05 06:00:00,103,642,-0.04542163746585652,0
2014-10-05 07:00:00,104,60,-0.07075700448042145,1
2014-10-05 07:00:00,104,1578,-0.04572893633518704,0
2014-10-05 08:00:00,105,18,-0.018642721414408453,1
2014-10-05 08:00:00,105,2850,-0.036755774684435444,0
2014-10-05 09:00:00,106,81,-0.03737441886025166,1
2014-10-05 09:00:00,106,4869,-0.034316826086553134,0
2014-10-05 10:00:00,107,234,-0.03936246904993965,1
2014-10-05 10:00:00,107,6420,-0.035492718072001,0
2014-10-05 11:00:00,108,264,-0.028222780563588103,1
2014-10-05 11:00:00,108,7593,-0.0362606541227435,0
2014-10-05 12:00:00,109,279,-0.027529203962586627,1
2014-10-05 12:00:00,109,9900,-0.03852912793156308,0
2014-10-05 13:00:00,110,303,-0.029041466423112228,1
2014-10-05 13:00:00,110,8466,-0.04020295902554015,0
2014-10-05 14:00:00,111,279,-0.04015454877287348,1
2014-10-05 14:00:00,111,8937,-0.03872005632584072,0
2014-10-05 15:00:00,112,258,-0.04352700352202274,1
2014-10-05 15:00:00,112,9069,-0.0414283871000636,0
2014-10-05 16:00:00,113,267,-0.057143684137624856,1
2014-10-05 16:00:00,113,6150,-0.03902374244554577,0
2014-10-05 17:00:00,114,312,-0.03172339446556224,1
2014-10-05 17:00:00,114,6609,-0.037247064720493904,0
2014-10-05 18:00:00,115,228,-0.03372540858890004,1
2014-10-05 18:00:00,115,7974,-0.039167618413434864,0
2014-10-05 19:00:00,116,216,-0.05447832907726261,1
2014-10-05 19:00:00,116,8685,-0.037104824062793945,0
2014-10-05 20:00:00,117,321,-0.034660205032910306,1
2014-10-05 20:00:00,117,9642,-0.03921647369863988,0
2014-10-05 21:00:00,118,291,-0.05241739699363376,1
2014-10-05 21:00:00,118,10695,-0.03621030768253788,0
2014-10-05 22:00:00,119,297,-0.028833395100624444,1
2014-10-05 22:00:00,119,10590,-0.03367853416918036,0
2014-10-05 23:00:00,120,165,-0.05202091383616591,1
2014-10-05 23:00:00,120,7650,-0.03691121413561451,0
2014-10-06 00:00:00,121,180,-0.06879422586384959,1
2014-10-06 00:00:00,121,4002,-0.04128856830888551,0
2014-10-06 01:00:00,122,186,-0.03602188603993163,1
2014-10-06 01:00:00,122,2289,-0.04729518182130085,0
2014-10-06 02:00:00,123,81,-0.054414312661831665,1
2014-10-06 02:00:00,123,1164,-0.05198850089640949,0
2014-10-06 03:00:00,124,21,-0.07706385970717185,1
2014-10-06 03:00:00,124,756,-0.04288762841535232,0
2014-10-06 04:00:00,125,6,-0.05305555555555556,1
2014-10-06 04:00:00,125,558,-0.05586993905366533,0
2014-10-06 05:00:00,126,18,-0.05998066677651455,1
2014-10-06 05:00:00,126,549,-0.04351921035457654,0
2014-10-06 06:00:00,127,93,-0.060696419801951076,1
2014-10-06 06:00:00,127,1530,-0.03265219218172642,0
2014-10-06 07:00:00,128,426,-0.04059456138333188,1
2014-10-06 07:00:00,128,2958,-0.03202453582120865,0
2014-10-06 08:00:00,129,690,-0.040093649471385835,1
2014-10-06 08:00:00,129,2961,-0.03950938434933785,0
2014-10-06 09:00:00,130,1380,-0.0414848417483937,1
2014-10-06 09:00:00,130,3201,-0.042714509970232475,0
2014-10-06 10:00:00,131,987,-0.047290134367293166,1
2014-10-06 10:00:00,131,3381,-0.030608898398564448,0
2014-10-06 11:00:00,132,1254,-0.03989720572708866,1
2014-10-06 11:00:00,132,3645,-0.03861510335548576,0
2014-10-06 12:00:00,133,1146,-0.04578394203224267,1
2014-10-06 12:00:00,133,4131,-0.039695232929717716,0
2014-10-06 13:00:00,134,1077,-0.05995894682935559,1
2014-10-06 13:00:00,134,3852,-0.04068195890395265,0
